Smax_mean,<S^2>_mean,c,dev_Smax_mean,dev_<S^2>_mean
0.02,0.98,0.01,1.11826e-17,2.88262e-16
0.02034,0.99898,0.02,8.11293e-05,0.000243388
0.02112,1.01664,0.03,0.000143988,0.000431965
0.02238,1.03294,0.04,0.000198873,0.000593141
0.02358,1.04998,0.05,0.000234258,0.000682738
0.02532,1.0654,0.06,0.000273395,0.000789257
0.02672,1.08216,0.07,0.00029301,0.000844805
0.02838,1.09902,0.08,0.000308775,0.000895367
0.02988,1.1174,0.09,0.00031523,0.000949676
0.03142,1.13662,0.1,0.000337928,0.00104563
0.03286,1.15654,0.11,0.000353682,0.00117815
0.0346,1.17624,0.12,0.000395465,0.00132757
0.03628,1.19616,0.13,0.000408726,0.00144648
0.038,1.21748,0.14,0.00043953,0.001568
0.03974,1.24026,0.15,0.00047404,0.0017176
0.04168,1.26256,0.16,0.000506427,0.00189644
0.0434,1.28636,0.17,0.000551987,0.00211945
0.04562,1.30994,0.18,0.000590872,0.00238289
0.04774,1.33454,0.19,0.00062399,0.00267445
0.05004,1.36084,0.2,0.000672385,0.00306983
0.05268,1.38628,0.21,0.000750174,0.0034172
0.05452,1.4142,0.22,0.000780999,0.00373918
0.05672,1.44228,0.23,0.000847064,0.00408183
0.05896,1.47344,0.24,0.000884195,0.0044008
0.06204,1.49956,0.25,0.000959123,0.00475766
0.0644,1.53084,0.26,0.000987132,0.00507453
0.06676,1.56316,0.27,0.00103361,0.00539948
0.06942,1.59918,0.28,0.00107463,0.00565521
0.07224,1.63284,0.29,0.00111375,0.00589527
0.076,1.66232,0.3,0.00114727,0.00646622
0.07958,1.69898,0.31,0.0012135,0.00711164
0.08306,1.7351,0.32,0.00130947,0.00778728
0.0865,1.7751,0.33,0.00136896,0.00829368
0.09036,1.81136,0.34,0.00146343,0.00927804
0.0953,1.8469,0.35,0.00154978,0.0100933
0.09988,1.886,0.36,0.00165258,0.011167
0.10546,1.92106,0.37,0.00180068,0.0120537
0.10932,1.96612,0.38,0.00188759,0.0130321
0.11408,2.01532,0.39,0.00197994,0.0142974
0.11904,2.05476,0.4,0.00201491,0.0150985
0.126,2.08932,0.41,0.0021797,0.0165871
0.13274,2.12662,0.42,0.00227203,0.017734
0.13886,2.16886,0.43,0.00239342,0.0190633
0.1476,2.19252,0.44,0.00256266,0.020721
0.1548,2.235,0.45,0.00267736,0.0225243
0.16196,2.28,0.46,0.00278795,0.0240856
0.16992,2.32212,0.47,0.00288094,0.0263181
0.17718,2.36034,0.48,0.00302278,0.0276823
0.18722,2.39666,0.49,0.00313186,0.0297335
0.19662,2.43502,0.5,0.00324842,0.0319109
0.2058,2.47544,0.51,0.00340928,0.0348845
0.21752,2.50068,0.52,0.00363667,0.0380676
0.22796,2.51864,0.53,0.00379036,0.0400641
0.23854,2.5599,0.54,0.00394767,0.0435104
0.25022,2.5951,0.55,0.00405527,0.0466559
0.26352,2.61216,0.56,0.00415,0.0496403
0.27758,2.6097,0.57,0.00428175,0.0528437
0.29014,2.6327,0.58,0.00434794,0.0565656
0.30548,2.6142,0.59,0.00446666,0.0599757
0.31866,2.60794,0.6,0.00454089,0.0629543
0.33482,2.56274,0.61,0.00460647,0.0656007
0.35028,2.54288,0.62,0.00458531,0.0686273
0.36552,2.52296,0.63,0.0046145,0.0716113
0.38114,2.50406,0.64,0.00464191,0.0746544
0.39924,2.42472,0.65,0.00460466,0.0767423
0.41774,2.31482,0.66,0.00458233,0.0769361
0.43302,2.26806,0.67,0.00467207,0.0799784
0.45022,2.19046,0.68,0.00462314,0.0808924
0.46742,2.11286,0.69,0.00453911,0.0824496
0.48512,2.00956,0.7,0.00455925,0.0843761
0.50204,1.89692,0.71,0.00439143,0.0822235
0.51794,1.79722,0.72,0.00428951,0.0820602
0.53402,1.70298,0.73,0.00419572,0.0819184
0.54806,1.64842,0.74,0.00415213,0.0818155
0.56684,1.49184,0.75,0.00403998,0.0765205
0.57956,1.44208,0.76,0.00399042,0.0769742
0.59568,1.30644,0.77,0.00380015,0.0707455
0.6081,1.26222,0.78,0.00359442,0.0725103
0.62184,1.18164,0.79,0.00348711,0.0707317
0.63622,1.01334,0.8,0.00307133,0.0524275
0.65028,0.93868,0.81,0.00297522,0.0492442
0.66366,0.82486,0.82,0.00273697,0.0338868
0.67504,0.76308,0.83,0.00261374,0.0283511
0.68616,0.70844,0.84,0.00248251,0.0252558
0.69474,0.6797,0.85,0.00246926,0.0245229
0.70284,0.65296,0.86,0.00240837,0.0231902
0.71164,0.62484,0.87,0.00238201,0.0221354
0.71956,0.6016,0.88,0.00238726,0.021518
0.72948,0.55996,0.89,0.0022656,0.0196195
0.73788,0.53088,0.9,0.00222335,0.0190382
0.74584,0.50556,0.91,0.00218461,0.0186639
0.75262,0.48778,0.92,0.00212313,0.0184207
0.76016,0.46768,0.93,0.00205904,0.0184359
0.7666,0.44584,0.94,0.00202313,0.0179381
0.773,0.4332,0.95,0.00201049,0.0188937
0.78072,0.4012,0.96,0.00191915,0.0149012
0.7868,0.37872,0.97,0.00182883,0.0104175
0.79152,0.37128,0.98,0.00182044,0.0104754
0.797,0.36088,0.99,0.00180236,0.0105964
0.80192,0.35332,1,0.00178365,0.0117968
